state,county,city,impervious
Massachusetts,Middlesex,Winchester,85.0
Massachusetts,Middlesex,Woburn,90.0
Massachusetts,Nantucket,Nantucket,65.0
Massachusetts,Norfolk,Avon,80.0
Massachusetts,Norfolk,Bellingham,0.0
Massachusetts,Norfolk,Brookline,33.0
Massachusetts,Norfolk,Canton,100.0
Massachusetts,Norfolk,Cohasset,0.0
Massachusetts,Norfolk,Dedham,24.0
Massachusetts,Norfolk,Dover,0.0
Massachusetts,Norfolk,Foxborough,2.0
Massachusetts,Norfolk,Holbrook,0.0
Massachusetts,Norfolk,Medfield,31.0
Massachusetts,Norfolk,Medway,0.0
Massachusetts,Norfolk,Millis,0.0
Massachusetts,Norfolk,Milton,0.0
Massachusetts,Norfolk,Needham,60.0
Massachusetts,Norfolk,Norfolk,89.0
Massachusetts,Norfolk,Plainville,53.0
Massachusetts,Norfolk,Quincy,68.0
Massachusetts,Norfolk,Sharon,0.0
Massachusetts,Norfolk,Stoughton,2.0
Massachusetts,Norfolk,Walpole,91.0
Massachusetts,Norfolk,Westwood,0.0
Massachusetts,Norfolk,Wrentham,0.0
Massachusetts,Plymouth,Abington,0.0
Massachusetts,Plymouth,Brockton,98.0
Massachusetts,Plymouth,Carver,0.0
Massachusetts,Plymouth,Duxbury,0.0
Massachusetts,Plymouth,East Bridgewater,0.0
Massachusetts,Plymouth,Halifax,0.0
Massachusetts,Plymouth,Hanover,0.0
Massachusetts,Plymouth,Hanson,0.0
Massachusetts,Plymouth,Kingston,0.0
Massachusetts,Plymouth,Lakeville,0.0
Massachusetts,Plymouth,Marion,39.0
Massachusetts,Plymouth,Marshfield,0.0
Massachusetts,Plymouth,Mattapoisett,45.0
Massachusetts,Plymouth,Norwell,0.0
Massachusetts,Plymouth,Pembroke,0.0
Massachusetts,Plymouth,Plymouth,24.0
Massachusetts,Plymouth,Plympton,0.0
Massachusetts,Plymouth,Rochester,0.0
Massachusetts,Plymouth,Rockland,2.0
Massachusetts,Plymouth,Scituate,0.0
Massachusetts,Plymouth,Wareham,34.0
Massachusetts,Plymouth,West Bridgewater,47.0
Massachusetts,Plymouth,Whitman,83.0
Massachusetts,Suffolk,Boston,88.0
Massachusetts,Suffolk,Chelsea,96.0
Massachusetts,Suffolk,Revere,26.0
Massachusetts,Worcester,Athol,0.0
Massachusetts,Worcester,Auburn,70.0
Massachusetts,Worcester,Barre,0.0
Massachusetts,Worcester,Berlin,0.0
Massachusetts,Worcester,Blackstone,0.0
Massachusetts,Worcester,Bolton,0.0
Massachusetts,Worcester,Brookfield,0.0
Massachusetts,Worcester,Charlton,0.0
Massachusetts,Worcester,Clinton,33.0
Massachusetts,Worcester,Douglas,0.0
Massachusetts,Worcester,Dudley,0.0
Massachusetts,Worcester,East Brookfield,0.0
Massachusetts,Worcester,Fitchburg,0.0
Massachusetts,Worcester,Gardner,0.0
Massachusetts,Worcester,Grafton,0.0
Massachusetts,Worcester,Hardwick,0.0
Massachusetts,Worcester,Harvard,0.0
Massachusetts,Worcester,Hopedale,0.0
Massachusetts,Worcester,Hubbardston,0.0
Massachusetts,Worcester,Lancaster,0.0
Massachusetts,Worcester,Leicester,0.0
Massachusetts,Worcester,Leominster,34.0
Massachusetts,Worcester,Lunenburg,0.0
Massachusetts,Worcester,Mendon,0.0
Massachusetts,Worcester,Milford,0.0
Massachusetts,Worcester,Millbury,93.0
Massachusetts,Worcester,Millville,0.0
Massachusetts,Worcester,New Braintree,0.0
Massachusetts,Worcester,North Brookfield,0.0
Massachusetts,Worcester,Northborough,52.0
Massachusetts,Worcester,Northbridge,40.0
Massachusetts,Worcester,Oakham,0.0
Massachusetts,Worcester,Oxford,14.0
Massachusetts,Worcester,Petersham,0.0
Massachusetts,Worcester,Phillipston,0.0
Massachusetts,Worcester,Royalston,0.0
Massachusetts,Worcester,Rutland,0.0
Massachusetts,Worcester,Southborough,0.0
Massachusetts,Worcester,Spencer,74.0
Massachusetts,Worcester,Sturbridge,45.0
Massachusetts,Worcester,Sutton,0.0
Massachusetts,Worcester,Upton,3.0
Massachusetts,Worcester,Uxbridge,0.0
Massachusetts,Worcester,Warren,0.0
Massachusetts,Worcester,Webster,23.0
Massachusetts,Worcester,West Brookfield,0.0
Massachusetts,Worcester,Westborough,85.0
Massachusetts,Worcester,Westminster,0.0
Massachusetts,Worcester,Winchendon,0.0
Massachusetts,Worcester,Worcester,84.0
Rhode Island,Bristol,Barrington,0.0
Rhode Island,Bristol,Bristol,81.0
Rhode Island,Bristol,Warren,0.0
Rhode Island,Kent,Coventry,0.0
Rhode Island,Kent,East Greenwich,0.0
Rhode Island,Kent,Warwick,55.0
Rhode Island,Kent,West Greenwich,0.0
Rhode Island,Kent,West Warwick,62.0
Rhode Island,Newport,Jamestown,0.0
Rhode Island,Newport,Little Compton,0.0
Rhode Island,Newport,Middletown,76.0
Rhode Island,Newport,Newport,0.0
Rhode Island,Newport,Portsmouth,98.0
Rhode Island,Newport,Tiverton,0.0
Rhode Island,Providence,Burrillville,0.0
Rhode Island,Providence,Central Falls,83.0
Rhode Island,Providence,Cranston,57.0
Rhode Island,Providence,Cumberland,0.0
Rhode Island,Providence,East Providence,77.0
Rhode Island,Providence,Foster,0.0
Rhode Island,Providence,Glocester,0.0
Rhode Island,Providence,Johnston,70.0
Rhode Island,Providence,Lincoln,0.0
Rhode Island,Providence,North Providence,70.0
Rhode Island,Providence,North Smithfield,0.0
Rhode Island,Providence,Pawtucket,97.0
Rhode Island,Providence,Providence,100.0
Rhode Island,Providence,Scituate,0.0
Rhode Island,Providence,Smithfield,0.0
Rhode Island,Providence,Woonsocket,86.0
Rhode Island,Washington,Charlestown,0.0
Rhode Island,Washington,Exeter,0.0
Rhode Island,Washington,Hopkinton,0.0
Rhode Island,Washington,Narragansett,0.0
Rhode Island,Washington,North Kingstown,71.0
Rhode Island,Washington,Richmond,1.0
Rhode Island,Washington,South Kingstown,0.0
Rhode Island,Washington,Westerly,0.0
